t;T_B;V_A;V_B
0;20.6464;4.99131;1.00869
1;21.2749;4.98262;1.01734
2;21.8862;4.97394;1.02593
3;22.4808;4.96527;1.03447
4;23.0594;4.95661;1.04296
5;23.6226;4.94795;1.05141
6;24.1708;4.9393;1.0598
7;24.7048;4.93066;1.06815
8;25.2249;4.92203;1.07645
9;25.7316;4.9134;1.0847
10;26.2253;4.90478;1.0929
11;26.7066;4.89617;1.10106
12;27.1759;4.88757;1.10917
13;27.6335;4.87897;1.11723
14;28.0798;4.87039;1.12525
15;28.5152;4.86181;1.13322
16;28.94;4.85323;1.14115
17;29.3546;4.84467;1.14903
18;29.7594;4.83611;1.15687
19;30.1545;4.82756;1.16466
20;30.5404;4.81902;1.17242
21;30.9173;4.81048;1.18012
22;31.2854;4.80196;1.18779
23;31.6451;4.79344;1.19541
24;31.9966;4.78492;1.20299
25;32.3402;4.77642;1.21052
26;32.676;4.76792;1.21802
27;33.0043;4.75943;1.22547
28;33.3254;4.75095;1.23288
29;33.6393;4.74247;1.24026
30;33.9465;4.73401;1.24759
31;34.2469;4.72555;1.25488
32;34.5408;4.7171;1.26213
33;34.8285;4.70865;1.26933
34;35.11;4.70022;1.27651
35;35.3856;4.69179;1.28364
36;35.6554;4.68336;1.29073
37;35.9195;4.67495;1.29778
38;36.1781;4.66654;1.3048
39;36.4314;4.65814;1.31177
40;36.6795;4.64975;1.31871
41;36.9225;4.64137;1.32561
42;37.1606;4.63299;1.33247
43;37.3939;4.62462;1.3393
44;37.6225;4.61626;1.34609
45;37.8465;4.60791;1.35284
46;38.0661;4.59956;1.35955
47;38.2813;4.59123;1.36623
48;38.4924;4.58289;1.37287
49;38.6993;4.57457;1.37948
50;38.9021;4.56626;1.38605
51;39.1011;4.55795;1.39259
52;39.2962;4.54965;1.39909
53;39.4876;4.54135;1.40555
54;39.6753;4.53307;1.41198
55;39.8595;4.52479;1.41838
56;40.0402;4.51652;1.42474
57;40.2175;4.50826;1.43106
58;40.3914;4.5;1.43736
59;40.5622;4.49175;1.44361
60;40.7297;4.48351;1.44984
61;40.8942;4.47528;1.45603
62;41.0557;4.46706;1.46219
63;41.2142;4.45884;1.46831
64;41.3698;4.45063;1.47441
65;41.5226;4.44243;1.48047
66;41.6726;4.43423;1.48649
67;41.8199;4.42605;1.49249
68;41.9646;4.41787;1.49845
69;42.1067;4.40969;1.50438
70;42.2463;4.40153;1.51028
71;42.3833;4.39337;1.51615
72;42.518;4.38522;1.52199
73;42.6503;4.37708;1.52779
74;42.7803;4.36895;1.53357
75;42.908;4.36082;1.53931
76;43.0335;4.3527;1.54502
77;43.1568;4.34459;1.5507
78;43.2779;4.33648;1.55635
79;43.397;4.32839;1.56197
80;43.514;4.3203;1.56757
81;43.629;4.31222;1.57313
82;43.7421;4.30414;1.57866
83;43.8532;4.29608;1.58416
84;43.9624;4.28802;1.58963
85;44.0698;4.27997;1.59508
86;44.1754;4.27192;1.60049
87;44.2792;4.26389;1.60587
88;44.3812;4.25586;1.61123
89;44.4816;4.24784;1.61656
90;44.5802;4.23983;1.62186
91;44.6772;4.23182;1.62713
92;44.7726;4.22382;1.63237
93;44.8664;4.21583;1.63758
94;44.9587;4.20785;1.64277
95;45.0494;4.19987;1.64793
96;45.1386;4.19191;1.65306
97;45.2264;4.18395;1.65816
98;45.3127;4.17599;1.66324
99;45.3976;4.16805;1.66829
100;45.4811;4.16011;1.67331
101;45.5633;4.15218;1.6783
102;45.6441;4.14426;1.68327
103;45.7236;4.13634;1.68821
104;45.8018;4.12843;1.69313
105;45.8788;4.12053;1.69801
106;45.9544;4.11264;1.70287
107;46.0289;4.10476;1.70771
108;46.1022;4.09688;1.71252
109;46.1743;4.08901;1.7173
110;46.2452;4.08115;1.72206
111;46.315;4.07329;1.72679
112;46.3836;4.06545;1.7315
113;46.4512;4.05761;1.73618
114;46.5176;4.04978;1.74083
115;46.583;4.04195;1.74546
116;46.6474;4.03414;1.75007
117;46.7107;4.02633;1.75465
118;46.773;4.01852;1.7592
119;46.8344;4.01073;1.76374
120;46.8947;4.00294;1.76824
121;46.9541;3.99517;1.77272
122;47.0125;3.98739;1.77718
123;47.07;3.97963;1.78161
124;47.1266;3.97187;1.78602
125;47.1823;3.96413;1.7904
126;47.237;3.95638;1.79477
127;47.291;3.94865;1.7991
128;47.344;3.94093;1.80341
129;47.3962;3.93321;1.8077
130;47.4476;3.9255;1.81197
131;47.4982;3.91779;1.81621
132;47.5479;3.9101;1.82043
133;47.5969;3.90241;1.82463
134;47.6451;3.89473;1.8288
