t;T_B;V_B
0;21.5872;1.02162
1;23.0903;1.04309
2;24.5156;1.0644
3;25.8686;1.08556
4;27.1546;1.10658
5;28.3781;1.12744
6;29.5433;1.14816
7;30.6541;1.16874
8;31.7141;1.18918
9;32.7265;1.20947
10;33.6943;1.22962
11;34.6201;1.24964
12;35.5065;1.26952
13;36.3558;1.28926
14;37.1702;1.30887
15;37.9516;1.32835
16;38.7019;1.3477
17;39.4227;1.36691
18;40.1158;1.386
19;40.7824;1.40496
20;41.4241;1.42379
21;42.0421;1.44249
22;42.6376;1.46107
23;43.2116;1.47953
24;43.7653;1.49786
25;44.2997;1.51608
26;44.8156;1.53417
27;45.3139;1.55214
28;45.7954;1.56999
29;46.2609;1.58772
30;46.7111;1.60534
31;47.1466;1.62284
32;47.5682;1.64022
33;47.9764;1.65749
34;48.3717;1.67464
35;48.7548;1.69168
36;49.1261;1.70861
37;49.486;1.72543
38;49.8352;1.74214
39;50.1739;1.75873
40;50.5026;1.77522
41;50.8216;1.7916
42;51.1314;1.80787
43;51.4323;1.82403
44;51.7247;1.84008
45;52.0087;1.85603
46;52.2848;1.87188
47;52.5533;1.88762
48;52.8143;1.90325
49;53.0682;1.91878
50;53.3152;1.93421
51;53.5556;1.94954
52;53.7895;1.96476
53;54.0172;1.97988
54;54.239;1.9949
55;54.4549;2.00983
56;54.6652;2.02465
57;54.87;2.03937
58;55.0696;2.054
59;55.2642;2.06853
60;55.4537;2.08296
61;55.6385;2.09729
62;55.8187;2.11153
63;55.9943;2.12567
64;56.1656;2.13971
65;56.3327;2.15366
66;56.4957;2.16752
67;56.6547;2.18128
68;56.8098;2.19495
69;56.9611;2.20852
70;57.1088;2.22201
71;57.253;2.2354
72;57.3937;2.2487
73;57.531;2.26191
74;57.6651;2.27502
75;57.796;2.28805
76;57.9238;2.30099
77;58.0486;2.31384
78;58.1704;2.32659
79;58.2894;2.33926
80;58.4057;2.35184
81;58.5192;2.36434
82;58.6301;2.37674
83;58.7384;2.38906
84;58.8442;2.4013
85;58.9475;2.41344
86;59.0485;2.4255
87;59.1471;2.43748
88;59.2435;2.44937
89;59.3376;2.46117
90;59.4296;2.47289
91;59.5194;2.48453
92;59.6072;2.49608
93;59.693;2.50755
94;59.7768;2.51893
95;59.8587;2.53024
96;59.9387;2.54146
97;60.0168;2.5526
98;60.0931;2.56365
99;60.1677;2.57463
100;60.2406;2.58552
101;60.3118;2.59634
102;60.3813;2.60707
103;60.4492;2.61772
104;60.5155;2.6283
105;60.5803;2.63879
106;60.6436;2.6492
107;60.7054;2.65954
108;60.7657;2.6698
109;60.8246;2.67998
110;60.8821;2.69008
111;60.9382;2.7001
112;60.993;2.71005
113;61.0465;2.71992
114;61.0987;2.72971
115;61.1496;2.73943
116;61.1993;2.74907
117;61.2478;2.75863
118;61.295;2.76812
119;61.3411;2.77753
120;61.3861;2.78687
121;61.4299;2.79613
122;61.4726;2.80532
123;61.5142;2.81444
124;61.5548;2.82348
125;61.5943;2.83244
126;61.6327;2.84134
127;61.6702;2.85016
128;61.7066;2.8589
129;61.7421;2.86758
130;61.7766;2.87618
131;61.8102;2.88471
132;61.8428;2.89317
133;61.8745;2.90155
134;61.9054;2.90987
135;61.9353;2.91811
136;61.9644;2.92628
137;61.9926;2.93439
138;62.0199;2.94242
139;62.0465;2.95038
140;62.0722;2.95827
141;62.0971;2.96609
142;62.1212;2.97384
143;62.1445;2.98152
144;62.1671;2.98914
145;62.1889;2.99668
146;62.21;3.00416
147;62.2303;3.01157
148;62.2499;3.0189
149;62.2688;3.02618
150;62.287;3.03338
151;62.3045;3.04052
152;62.3213;3.04758
153;62.3374;3.05459
154;62.3529;3.06152
155;62.3677;3.06839
156;62.3819;3.07519
157;62.3954;3.08193
158;62.4083;3.0886
159;62.4206;3.0952
160;62.4323;3.10174
161;62.4433;3.10821
162;62.4538;3.11462
163;62.4637;3.12096
164;62.4729;3.12724
165;62.4817;3.13345
166;62.4898;3.1396
167;62.4974;3.14568
168;62.5044;3.15171
169;62.5109;3.15766
170;62.5168;3.16356
171;62.5222;3.16939
172;62.5271;3.17515
173;62.5315;3.18086
174;62.5353;3.1865
175;62.5386;3.19207
176;62.5415;3.19759
177;62.5438;3.20304
178;62.5456;3.20844
179;62.5469;3.21377
180;62.5478;3.21903
181;62.5482;3.22424
182;62.5481;3.22938
183;62.5475;3.23447
184;62.5465;3.23949
185;62.545;3.24445
186;62.543;3.24935
187;62.5406;3.2542
188;62.5378;3.25898
189;62.5345;3.2637
190;62.5308;3.26836
191;62.5266;3.27296
192;62.522;3.2775
193;62.517;3.28198
194;62.5116;3.28641
195;62.5057;3.29077
196;62.4995;3.29508
197;62.4928;3.29932
198;62.4857;3.30351
199;62.4782;3.30764
200;62.4703;3.31171
201;62.462;3.31572
202;62.4534;3.31968
203;62.4443;3.32358
204;62.4348;3.32742
205;62.425;3.3312
206;62.4148;3.33493
207;62.4042;3.33859
208;62.3932;3.34221
209;62.3818;3.34576
210;62.3701;3.34926
211;62.358;3.3527
212;62.3456;3.35609
213;62.3328;3.35942
214;62.3196;3.36269
215;62.3061;3.36591
216;62.2922;3.36907
217;62.2779;3.37218
218;62.2633;3.37523
219;62.2484;3.37823
220;62.2331;3.38117
221;62.2175;3.38406
222;62.2015;3.38689
223;62.1852;3.38967
224;62.1685;3.39239
225;62.1516;3.39506
226;62.1342;3.39767
227;62.1166;3.40023
228;62.0986;3.40274
229;62.0803;3.40519
230;62.0616;3.40759
231;62.0427;3.40994
232;62.0234;3.41223
233;62.0038;3.41447
234;61.9838;3.41666
235;61.9636;3.4188
236;61.943;3.42088
237;61.9221;3.42291
238;61.9009;3.42489
239;61.8794;3.42681
240;61.8576;3.42868
241;61.8354;3.43051
242;61.813;3.43227
243;61.7902;3.43399
244;61.7672;3.43566
245;61.7438;3.43727
246;61.7201;3.43884
247;61.6961;3.44035
248;61.6718;3.44181
249;61.6472;3.44322
250;61.6223;3.44458
251;61.5972;3.44589
252;61.5717;3.44715
253;61.5459;3.44836
254;61.5198;3.44952
255;61.4934;3.45063
256;61.4667;3.45169
257;61.4397;3.4527
258;61.4125;3.45366
259;61.3849;3.45457
260;61.357;3.45543
261;61.3289;3.45624
262;61.3004;3.457
263;61.2717;3.45772
264;61.2427;3.45838
265;61.2134;3.459
266;61.1838;3.45957
267;61.1539;3.46009
268;61.1237;3.46056
269;61.0932;3.46098
270;61.0624;3.46136
271;61.0314;3.46169
272;61;3.46197
273;60.9684;3.4622
274;60.9365;3.46238
275;60.9043;3.46252
276;60.8718;3.46261
277;60.839;3.46265
278;60.806;3.46265
279;60.7726;3.4626
280;60.739;3.4625
281;60.7051;3.46235
282;60.6709;3.46216
283;60.6364;3.46193
284;60.6016;3.46164
285;60.5666;3.46131
286;60.5313;3.46094
287;60.4956;3.46052
288;60.4597;3.46005
289;60.4235;3.45954
290;60.387;3.45898
291;60.3503;3.45838
292;60.3132;3.45773
293;60.2759;3.45703
294;60.2383;3.45629
295;60.2004;3.45551
296;60.1622;3.45468
297;60.1237;3.45381
298;60.0849;3.45289
299;60.0459;3.45193
300;60.0065;3.45092
301;59.9669;3.44987
302;59.927;3.44878
303;59.8868;3.44764
304;59.8463;3.44645
305;59.8055;3.44523
306;59.7644;3.44396
307;59.7231;3.44264
308;59.6814;3.44129
309;59.6395;3.43989
310;59.5973;3.43844
311;59.5547;3.43696
312;59.5119;3.43543
313;59.4688;3.43386
314;59.4254;3.43224
315;59.3817;3.43059
316;59.3378;3.42889
317;59.2935;3.42714
318;59.2489;3.42536
319;59.204;3.42354
320;59.1589;3.42167
321;59.1134;3.41976
322;59.0677;3.41781
323;59.0216;3.41581
324;58.9752;3.41378
325;58.9286;3.4117
326;58.8816;3.40958
327;58.8344;3.40743
328;58.7868;3.40523
329;58.7389;3.40299
330;58.6908;3.4007
331;58.6423;3.39838
332;58.5935;3.39602
333;58.5444;3.39362
334;58.495;3.39117
335;58.4453;3.38869
336;58.3953;3.38616
337;58.345;3.3836
338;58.2943;3.38099
339;58.2434;3.37835
340;58.1921;3.37567
341;58.1405;3.37294
342;58.0886;3.37018
343;58.0364;3.36738
344;57.9839;3.36454
345;57.931;3.36165
346;57.8779;3.35873
347;57.8244;3.35578
348;57.7706;3.35278
349;57.7164;3.34974
350;57.6619;3.34667
351;57.6071;3.34355
352;57.552;3.3404
353;57.4966;3.33721
354;57.4408;3.33398
355;57.3847;3.33071
356;57.3282;3.32741
357;57.2714;3.32407
358;57.2143;3.32068
359;57.1569;3.31727
360;57.0991;3.31381
361;57.0409;3.31032
362;56.9824;3.30679
363;56.9236;3.30322
364;56.8644;3.29961
365;56.8049;3.29597
366;56.745;3.29229
367;56.6848;3.28857
368;56.6242;3.28482
369;56.5633;3.28103
370;56.502;3.27721
371;56.4404;3.27334
372;56.3784;3.26944
373;56.316;3.26551
374;56.2533;3.26154
375;56.1902;3.25753
376;56.1268;3.25349
377;56.0629;3.24941
378;55.9987;3.24529
379;55.9342;3.24114
380;55.8692;3.23696
381;55.8039;3.23274
382;55.7382;3.22848
383;55.6721;3.22419
384;55.6057;3.21986
385;55.5388;3.2155
386;55.4716;3.2111
387;55.404;3.20667
388;55.336;3.2022
389;55.2676;3.1977
390;55.1988;3.19317
391;55.1296;3.1886
392;55.06;3.184
393;54.99;3.17936
394;54.9195;3.17468
395;54.8487;3.16998
396;54.7775;3.16524
397;54.7059;3.16046
398;54.6338;3.15566
399;54.5613;3.15082
400;54.4884;3.14594
401;54.4151;3.14103
402;54.3414;3.13609
403;54.2672;3.13112
404;54.1926;3.12611
405;54.1176;3.12107
406;54.0421;3.116
407;53.9662;3.11089
408;53.8898;3.10575
409;53.813;3.10058
410;53.7358;3.09537
411;53.6581;3.09014
412;53.58;3.08487
413;53.5013;3.07957
414;53.4223;3.07423
415;53.3427;3.06887
416;53.2627;3.06347
417;53.1823;3.05804
418;53.1013;3.05258
419;53.0199;3.04709
420;52.938;3.04156
421;52.8556;3.03601
422;52.7727;3.03042
423;52.6894;3.0248
424;52.6055;3.01915
425;52.5212;3.01347
426;52.4363;3.00776
427;52.351;3.00202
428;52.2651;2.99624
429;52.1787;2.99044
430;52.0918;2.98461
431;52.0044;2.97874
432;51.9164;2.97284
433;51.828;2.96692
434;51.7389;2.96096
435;51.6494;2.95497
436;51.5593;2.94895
437;51.4687;2.94291
438;51.3775;2.93683
439;51.2857;2.93072
440;51.1934;2.92458
441;51.1005;2.91841
442;51.0071;2.91221
443;50.913;2.90599
444;50.8184;2.89973
445;50.7232;2.89344
446;50.6274;2.88712
447;50.531;2.88078
448;50.434;2.8744
449;50.3364;2.86799
450;50.2382;2.86155
451;50.1393;2.85509
452;50.0398;2.84859
453;49.9396;2.84206
454;49.8388;2.8355
455;49.7372;2.82891
456;49.635;2.82228
457;49.532;2.81563
458;49.4282;2.80893
459;49.3232;2.80217
460;49.2183;2.79543
461;49.1135;2.78871
462;49.0089;2.78201
463;48.9044;2.77533
464;48.8;2.76867
465;48.6957;2.76203
466;48.5916;2.75541
467;48.4875;2.74881
468;48.3837;2.74223
469;48.2799;2.73567
470;48.1763;2.72913
471;48.0728;2.72261
472;47.9694;2.71611
473;47.8662;2.70963
474;47.7631;2.70317
475;47.6602;2.69673
476;47.5574;2.69031
477;47.4547;2.68391
478;47.3521;2.67752
479;47.2497;2.67116
480;47.1475;2.66482
481;47.0454;2.65849
482;46.9434;2.65219
483;46.8416;2.6459
484;46.7399;2.63964
485;46.6383;2.63339
486;46.5369;2.62716
487;46.4357;2.62095
488;46.3346;2.61476
489;46.2336;2.60859
490;46.1328;2.60244
491;46.0322;2.59631
492;45.9317;2.5902
493;45.8313;2.5841
494;45.7311;2.57803
495;45.6311;2.57197
496;45.5312;2.56594
497;45.4315;2.55992
498;45.3319;2.55392
499;45.2325;2.54794
500;45.1332;2.54197
501;45.0341;2.53603
502;44.9352;2.53011
503;44.8364;2.5242
504;44.7377;2.51831
505;44.6393;2.51244
506;44.541;2.50659
507;44.4428;2.50076
508;44.3449;2.49495
509;44.2471;2.48915
510;44.1494;2.48337
511;44.052;2.47761
512;43.9547;2.47187
513;43.8575;2.46615
514;43.7606;2.46045
515;43.6638;2.45476
516;43.5672;2.44909
517;43.4707;2.44344
518;43.3744;2.43781
519;43.2783;2.4322
520;43.1824;2.4266
521;43.0866;2.42103
522;42.9911;2.41547
523;42.8957;2.40993
524;42.8004;2.4044
525;42.7054;2.3989
526;42.6105;2.39341
527;42.5158;2.38794
528;42.4213;2.38248
529;42.327;2.37705
530;42.2329;2.37163
531;42.1389;2.36623
532;42.0451;2.36085
533;41.9515;2.35548
534;41.8581;2.35014
535;41.7649;2.34481
536;41.6719;2.33949
537;41.579;2.3342
538;41.4864;2.32892
539;41.3939;2.32366
540;41.3016;2.31841
541;41.2095;2.31319
542;41.1176;2.30798
543;41.0259;2.30279
544;40.9344;2.29761
545;40.8431;2.29245
546;40.752;2.28731
547;40.6611;2.28219
548;40.5703;2.27708
549;40.4798;2.27199
550;40.3894;2.26692
551;40.2993;2.26186
552;40.2093;2.25682
553;40.1196;2.2518
554;40.0301;2.2468
555;39.9407;2.24181
556;39.8516;2.23683
557;39.7626;2.23188
558;39.6739;2.22694
559;39.5853;2.22201
560;39.497;2.21711
561;39.4089;2.21222
562;39.3209;2.20735
563;39.2332;2.20249
564;39.1457;2.19765
565;39.0584;2.19282
566;38.9713;2.18801
567;38.8844;2.18322
